"Index","Segment","Score","R","F","M","Activity","Actionable Tip"
"1","Champions","555","5","5","5","Bought recently, buy often and spend the most!","Reward them. Can be early adopters for new products. Will promote your brand."
"1","Champions","554","5","5","4","Bought recently, buy often and spend the most!","Reward them. Can be early adopters for new products. Will promote your brand."
"1","Champions","544","5","4","4","Bought recently, buy often and spend the most!","Reward them. Can be early adopters for new products. Will promote your brand."
"1","Champions","545","5","4","5","Bought recently, buy often and spend the most!","Reward them. Can be early adopters for new products. Will promote your brand."
"1","Champions","454","4","5","4","Bought recently, buy often and spend the most!","Reward them. Can be early adopters for new products. Will promote your brand."
"1","Champions","455","4","5","5","Bought recently, buy often and spend the most!","Reward them. Can be early adopters for new products. Will promote your brand."
"1","Champions","445","4","4","5","Bought recently, buy often and spend the most!","Reward them. Can be early adopters for new products. Will promote your brand."
"2","Loyal","543","5","4","3","Spend good money with us often. Responsive to promotions.","Upsell higher value products. Ask for reviews. Engage them."
"2","Loyal","444","4","4","4","Spend good money with us often. Responsive to promotions.","Upsell higher value products. Ask for reviews. Engage them."
"2","Loyal","435","4","3","5","Spend good money with us often. Responsive to promotions.","Upsell higher value products. Ask for reviews. Engage them."
"2","Loyal","355","3","5","5","Spend good money with us often. Responsive to promotions.","Upsell higher value products. Ask for reviews. Engage them."
"2","Loyal","354","3","5","4","Spend good money with us often. Responsive to promotions.","Upsell higher value products. Ask for reviews. Engage them."
"2","Loyal","345","3","4","5","Spend good money with us often. Responsive to promotions.","Upsell higher value products. Ask for reviews. Engage them."
"2","Loyal","344","3","4","4","Spend good money with us often. Responsive to promotions.","Upsell higher value products. Ask for reviews. Engage them."
"2","Loyal","335","3","3","5","Spend good money with us often. Responsive to promotions.","Upsell higher value products. Ask for reviews. Engage them."
"3","Potential Loyalist","553","5","5","3","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","551","5","5","1","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","552","5","5","2","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","541","5","4","1","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","542","5","4","2","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","533","5","3","3","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","532","5","3","2","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","531","5","3","1","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","452","4","5","2","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","451","4","5","1","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","442","4","4","2","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","441","4","4","1","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","431","4","3","1","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","453","4","5","3","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","433","4","3","3","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","432","4","3","2","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","423","4","2","3","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","353","3","5","3","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","352","3","5","2","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","351","3","5","1","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","342","3","4","2","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","341","3","4","1","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","333","3","3","3","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"3","Potential Loyalist","323","3","2","3","Recent customers, but spent a good amount and bought more than once.","Offer membership / loyalty program, recommend other products."
"4","New Customers","512","5","1","2","Bought most recently, but not often.","Provide onboarding support, give them early success, start building relationship."
"4","New Customers","511","5","1","1","Bought most recently, but not often.","Provide onboarding support, give them early success, start building relationship."
"4","New Customers","422","4","2","2","Bought most recently, but not often.","Provide onboarding support, give them early success, start building relationship."
"4","New Customers","421","4","2","1","Bought most recently, but not often.","Provide onboarding support, give them early success, start building relationship."
"4","New Customers","412","4","1","2","Bought most recently, but not often.","Provide onboarding support, give them early success, start building relationship."
"4","New Customers","411","4","1","1","Bought most recently, but not often.","Provide onboarding support, give them early success, start building relationship."
"4","New Customers","311","3","1","1","Bought most recently, but not often.","Provide onboarding support, give them early success, start building relationship."
"5","Promising","525","5","2","5","Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
"5","Promising","524","5","2","4","Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
"5","Promising","523","5","2","3","Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
"5","Promising","522","5","2","2","Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
"5","Promising","521","5","2","1","Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
"5","Promising","515","5","1","5","Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
"5","Promising","514","5","1","4","Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
"5","Promising","513","5","1","3","Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
"5","Promising","425","4","2","5","Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
"5","Promising","424","4","2","4","Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
"5","Promising","413","4","1","3","Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
"5","Promising","414","4","1","4","Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
"5","Promising","415","4","1","5","Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
"5","Promising","315","3","1","5","Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
"5","Promising","314","3","1","4","Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
"5","Promising","313","3","1","3","Recent shoppers, but haven’t spent much.","Create brand awareness, offer free trials"
"6","Need Attention","535","5","3","5","Above average recency, frequency and monetary values. May not have bought very recently though.","Make limited time offers, Recommend based on past purchases. Reactivate them."
"6","Need Attention","534","5","3","4","Above average recency, frequency and monetary values. May not have bought very recently though.","Make limited time offers, Recommend based on past purchases. Reactivate them."
"6","Need Attention","443","4","4","3","Above average recency, frequency and monetary values. May not have bought very recently though.","Make limited time offers, Recommend based on past purchases. Reactivate them."
"6","Need Attention","434","4","3","4","Above average recency, frequency and monetary values. May not have bought very recently though.","Make limited time offers, Recommend based on past purchases. Reactivate them."
"6","Need Attention","343","3","4","3","Above average recency, frequency and monetary values. May not have bought very recently though.","Make limited time offers, Recommend based on past purchases. Reactivate them."
"6","Need Attention","334","3","3","4","Above average recency, frequency and monetary values. May not have bought very recently though.","Make limited time offers, Recommend based on past purchases. Reactivate them."
"6","Need Attention","325","3","2","5","Above average recency, frequency and monetary values. May not have bought very recently though.","Make limited time offers, Recommend based on past purchases. Reactivate them."
"6","Need Attention","324","3","2","4","Above average recency, frequency and monetary values. May not have bought very recently though.","Make limited time offers, Recommend based on past purchases. Reactivate them."
"7","About To Sleep","331","3","3","1","Below average recency, frequency and monetary values. Will lose them if not reactivated.","Share valuable resources, recommend popular products / renewals at discount, reconnect with them."
"7","About To Sleep","321","3","2","1","Below average recency, frequency and monetary values. Will lose them if not reactivated.","Share valuable resources, recommend popular products / renewals at discount, reconnect with them."
"7","About To Sleep","312","3","1","2","Below average recency, frequency and monetary values. Will lose them if not reactivated.","Share valuable resources, recommend popular products / renewals at discount, reconnect with them."
"7","About To Sleep","221","2","2","1","Below average recency, frequency and monetary values. Will lose them if not reactivated.","Share valuable resources, recommend popular products / renewals at discount, reconnect with them."
"7","About To Sleep","213","2","1","3","Below average recency, frequency and monetary values. Will lose them if not reactivated.","Share valuable resources, recommend popular products / renewals at discount, reconnect with them."
"7","About To Sleep","231","2","3","1","Below average recency, frequency and monetary values. Will lose them if not reactivated.","Share valuable resources, recommend popular products / renewals at discount, reconnect with them."
"7","About To Sleep","241","2","4","1","Below average recency, frequency and monetary values. Will lose them if not reactivated.","Share valuable resources, recommend popular products / renewals at discount, reconnect with them."
"7","About To Sleep","251","2","5","1","Below average recency, frequency and monetary values. Will lose them if not reactivated.","Share valuable resources, recommend popular products / renewals at discount, reconnect with them."
"8","Cannot Lose Them But Losing","155","1","5","5","Made biggest purchases, and often. But haven’t returned for a long time.","Win them back via renewals or newer products, don’t lose them to competition, talk to them."
"8","Cannot Lose Them But Losing","154","1","5","4","Made biggest purchases, and often. But haven’t returned for a long time.","Win them back via renewals or newer products, don’t lose them to competition, talk to them."
"8","Cannot Lose Them But Losing","144","1","4","4","Made biggest purchases, and often. But haven’t returned for a long time.","Win them back via renewals or newer products, don’t lose them to competition, talk to them."
"8","Cannot Lose Them But Losing","214","2","1","4","Made biggest purchases, and often. But haven’t returned for a long time.","Win them back via renewals or newer products, don’t lose them to competition, talk to them."
"8","Cannot Lose Them But Losing","215","2","1","5","Made biggest purchases, and often. But haven’t returned for a long time.","Win them back via renewals or newer products, don’t lose them to competition, talk to them."
"8","Cannot Lose Them But Losing","115","1","1","5","Made biggest purchases, and often. But haven’t returned for a long time.","Win them back via renewals or newer products, don’t lose them to competition, talk to them."
"8","Cannot Lose Them But Losing","114","1","1","4","Made biggest purchases, and often. But haven’t returned for a long time.","Win them back via renewals or newer products, don’t lose them to competition, talk to them."
"8","Cannot Lose Them But Losing","113","1","1","3","Made biggest purchases, and often. But haven’t returned for a long time.","Win them back via renewals or newer products, don’t lose them to competition, talk to them."
"9","At Risk","255","2","5","5","Spent big money and purchased often. But long time ago. Need to bring them back!","Send personalized emails to reconnect, offer renewals, provide helpful resources."
"9","At Risk","254","2","5","4","Spent big money and purchased often. But long time ago. Need to bring them back!","Send personalized emails to reconnect, offer renewals, provide helpful resources."
"9","At Risk","245","2","4","5","Spent big money and purchased often. But long time ago. Need to bring them back!","Send personalized emails to reconnect, offer renewals, provide helpful resources."
"9","At Risk","244","2","4","4","Spent big money and purchased often. But long time ago. Need to bring them back!","Send personalized emails to reconnect, offer renewals, provide helpful resources."
"9","At Risk","253","2","5","3","Spent big money and purchased often. But long time ago. Need to bring them back!","Send personalized emails to reconnect, offer renewals, provide helpful resources."
"9","At Risk","252","2","5","2","Spent big money and purchased often. But long time ago. Need to bring them back!","Send personalized emails to reconnect, offer renewals, provide helpful resources."
"9","At Risk","243","2","4","3","Spent big money and purchased often. But long time ago. Need to bring them back!","Send personalized emails to reconnect, offer renewals, provide helpful resources."
"9","At Risk","242","2","4","2","Spent big money and purchased often. But long time ago. Need to bring them back!","Send personalized emails to reconnect, offer renewals, provide helpful resources."
"9","At Risk","235","2","3","5","Spent big money and purchased often. But long time ago. Need to bring them back!","Send personalized emails to reconnect, offer renewals, provide helpful resources."
"9","At Risk","234","2","3","4","Spent big money and purchased often. But long time ago. Need to bring them back!","Send personalized emails to reconnect, offer renewals, provide helpful resources."
"9","At Risk","225","2","2","5","Spent big money and purchased often. But long time ago. Need to bring them back!","Send personalized emails to reconnect, offer renewals, provide helpful resources."
"9","At Risk","224","2","2","4","Spent big money and purchased often. But long time ago. Need to bring them back!","Send personalized emails to reconnect, offer renewals, provide helpful resources."
"9","At Risk","153","1","5","3","Spent big money and purchased often. But long time ago. Need to bring them back!","Send personalized emails to reconnect, offer renewals, provide helpful resources."
"9","At Risk","152","1","5","2","Spent big money and purchased often. But long time ago. Need to bring them back!","Send personalized emails to reconnect, offer renewals, provide helpful resources."
"9","At Risk","145","1","4","5","Spent big money and purchased often. But long time ago. Need to bring them back!","Send personalized emails to reconnect, offer renewals, provide helpful resources."
"9","At Risk","143","1","4","3","Spent big money and purchased often. But long time ago. Need to bring them back!","Send personalized emails to reconnect, offer renewals, provide helpful resources."
"9","At Risk","142","1","4","2","Spent big money and purchased often. But long time ago. Need to bring them back!","Send personalized emails to reconnect, offer renewals, provide helpful resources."
"9","At Risk","135","1","3","5","Spent big money and purchased often. But long time ago. Need to bring them back!","Send personalized emails to reconnect, offer renewals, provide helpful resources."
"9","At Risk","134","1","3","4","Spent big money and purchased often. But long time ago. Need to bring them back!","Send personalized emails to reconnect, offer renewals, provide helpful resources."
"9","At Risk","133","1","3","3","Spent big money and purchased often. But long time ago. Need to bring them back!","Send personalized emails to reconnect, offer renewals, provide helpful resources."
"9","At Risk","125","1","2","5","Spent big money and purchased often. But long time ago. Need to bring them back!","Send personalized emails to reconnect, offer renewals, provide helpful resources."
"9","At Risk","124","1","2","4","Spent big money and purchased often. But long time ago. Need to bring them back!","Send personalized emails to reconnect, offer renewals, provide helpful resources."
"10","Hibernating Customers","332","3","3","2","Last purchase was long back, low spenders and bought seldomly.","Offer other relevant products and special discounts. Recreate brand value."
"10","Hibernating Customers","322","3","2","2","Last purchase was long back, low spenders and bought seldomly.","Offer other relevant products and special discounts. Recreate brand value."
"10","Hibernating Customers","233","2","3","3","Last purchase was long back, low spenders and bought seldomly.","Offer other relevant products and special discounts. Recreate brand value."
"10","Hibernating Customers","232","2","3","2","Last purchase was long back, low spenders and bought seldomly.","Offer other relevant products and special discounts. Recreate brand value."
"10","Hibernating Customers","223","2","2","3","Last purchase was long back, low spenders and bought seldomly.","Offer other relevant products and special discounts. Recreate brand value."
"10","Hibernating Customers","222","2","2","2","Last purchase was long back, low spenders and bought seldomly.","Offer other relevant products and special discounts. Recreate brand value."
"10","Hibernating Customers","132","1","3","2","Last purchase was long back, low spenders and bought seldomly.","Offer other relevant products and special discounts. Recreate brand value."
"10","Hibernating Customers","123","1","2","3","Last purchase was long back, low spenders and bought seldomly.","Offer other relevant products and special discounts. Recreate brand value."
"10","Hibernating Customers","122","1","2","2","Last purchase was long back, low spenders and bought seldomly.","Offer other relevant products and special discounts. Recreate brand value."
"10","Hibernating Customers","212","2","1","2","Last purchase was long back, low spenders and bought seldomly.","Offer other relevant products and special discounts. Recreate brand value."
"10","Hibernating Customers","211","2","1","1","Last purchase was long back, low spenders and bought seldomly.","Offer other relevant products and special discounts. Recreate brand value."
"11","Lost Customers","111","1","1","1","Lowest recency, frequency and monetary scores (RFM score).","Revive interest with reach out campaign, ignore otherwise."
"11","Lost Customers","112","1","1","2","Lowest recency, frequency and monetary scores (RFM score).","Revive interest with reach out campaign, ignore otherwise."
"11","Lost Customers","121","1","2","1","Lowest recency, frequency and monetary scores (RFM score).","Revive interest with reach out campaign, ignore otherwise."
"11","Lost Customers","131","1","3","1","Lowest recency, frequency and monetary scores (RFM score).","Revive interest with reach out campaign, ignore otherwise."
"11","Lost Customers","141","1","4","1","Lowest recency, frequency and monetary scores (RFM score).","Revive interest with reach out campaign, ignore otherwise."
"11","Lost Customers","151","1","5","1","Lowest recency, frequency and monetary scores (RFM score).","Revive interest with reach out campaign, ignore otherwise."